Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Longitude,Latitude
JAWA TIMUR,SIDOARJO,SIDOARJO,CEMENGBAKALAN,"Cemengbakalan, Kecamatan Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",SPPG Sidoarjo Sidoarjo Cemengbakalan 4,112.6761188,-7.4372344
JAWA TIMUR,BANGKALAN,GALIS,BANYU BUNIH,Dsn Blundung Desa Banyubunih Kec Galis Kabupaten Bangkalan,SPPG Bangkalan Galis Banyu Bunih 2,112.982824,-7.087532
JAWA TIMUR,PASURUAN,PANDAAN,TAWANGREJO,"Dusun Kanyuran Rt 02 Rw 01 Desa Tawangrejo, Kecamatan Pandaan, Kabupaten Pasuruan, Jawa Timur",SPPG Pasuruan Pandaan Tawangrejo,112.686783,-7.64472
JAWA TIMUR,KEDIRI,NGADILUWIH,PURWOKERTO,"Jl. Prof. Dr. Mustopo No 354, Purwoharjo, Purwokerto, Kec. Ngadiluwih, Kab. Kediri, Jawa Timur",SPPG Kediri Ngadiluwih Purwokerto,112.001101,-7.904327
JAWA TIMUR,SIDOARJO,PORONG,WUNUT,"Suncity Biz No A7, Wunut, Kec. Porong, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Porong Wunut 2,112.6914059,-7.5185141
JAWA TIMUR,GRESIK,BUNGAH,MELIRANG,"Jl. Kebonsari, Rt.26/Rw.10, Pereng Kulon, Melirang, Kecamatan Bungah, Kabupaten Gresik, Jawa Timur",SPPG Gresik Bungah Melirang,112.5406891,-7.0335212
JAWA TIMUR,TRENGGALEK,KAMPAK,BENDOAGUNG,"Dusun Kademangan Rt. 01 Rw. 01 Ds. Bendoagung Kecamatan Kampak, Trenggalek",SPPG Trenggalek Kampak Bendoagung,111.651335,-8.1797
JAWA TIMUR,SITUBONDO,SITUBONDO,TALKANDANG,"Jl. Anggrek, Logandang Barat, Desa Talkandang, Kec. Situbondo, Kab. Situbondo, Jawa Timur",SPPG Situbondo Situbondo Talkandang 2,113.995435931755,-7.69835862013
JAWA TIMUR,MOJOKERTO,PUNGGING,TUNGGALPAGER,"Dusun Panggreman, Tunggalpager, Kec. Pungging, Kab. Mojokerto, Jawa Timur",SPPG Mojokerto Pungging Tunggalpager 3,112.5730385,-7.5280406
JAWA TIMUR,MALANG,KEPANJEN,MANGUNREJO,"Jl. Raya Mangunrejo RT 001 RW 003, Desa Panggungrejo, Kecamatan Kepanjen, Kabupaten Malang, Jawa Timur",SPPG Malang Kepanjen Mangunrejo,112.5455201,-8.1501094
JAWA TIMUR,PAMEKASAN,PALENGAAN,REK KERREK,"Dusun Masaran, Rek Kerrek, Palenggaan, Kabupaten Pamekasan, Jawa Timur",SPPG Pamekasan Palengaan Rek Kerrek 2,113.4455855,-7.0876025
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,MEDOKAN AYU,"Medokan Asri 1 P - 24, Kecamatan Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Medokan Ayu 2,112.792632576447,-7.327093299165
JAWA TIMUR,SIDOARJO,CANDI,LARANGAN,"jln Mojopahit no 07 dsn Larangan, kec Candi, kab Sidoarjo",SPPG Sidoarjo Candi Larangan,112.716336426715,-7.469107555775
JAWA TIMUR,LAMONGAN,KEMBANGBAHU,LOPANG,"Desa Lopang, Kecamatan Kembangbahu, Kabupaten Lamongan, Jawa Timur",SPPG Lamongan Kembangbahu Lopang 2,112.3796059,-7.1748026
JAWA TIMUR,LUMAJANG,RANDUAGUNG,BANYUPUTIH LOR,"RT 001 RW 004 Banyuputih Lor, Kec. Randuagung, Kab. Lumajang, Jawa Timur",SPPG Lumajang Randuagung Banyuputih Lor,113.2746532,-8.0943126
JAWA TIMUR,BLITAR,NGLEGOK,BANGSRI,"Dusun Bangsri Rt 01 Rw 04 Desa Bangsri, Kec. Nglegok, Kab. Blitar, Jawa Timur",SPPG Blitar Nglegok Bangsri,112.177221,-8.048952
JAWA TIMUR,PASURUAN,GRATI,GRATITUNON,"Jl. Raya Kampung Baru Grati No.36, Rt. 2 Rw. 005, Gratitunon, Kec. Grati, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Grati Gratitunon,113.0121239,-7.7452424
JAWA TIMUR,PASURUAN,LEKOK,GEJUGJATI,"Jl. Raya Pantura, desa gejugjati kecamatan lekok kabupaten pasuruan jawa timur",SPPG Pasuruan Lekok Gejugjati,113.0036138,-7.6990659
JAWA TIMUR,NGAWI,NGAWI,GRUDO,"Gang Kaka Tua No.1 Rt.001 Rw.03, Dusun Cupo, Desa Grudo, Kec. Ngawi, Kab. Ngawi, Jawa Timur",SPPG Ngawi Ngawi Grudo 3,111.424626,-7.404693
JAWA TIMUR,GRESIK,MENGANTI,KEPATIHAN,"Jl. Raya Kepatihan No.21-42, Kepatihan, Kecamatan Menganti, Kabupaten Gresik, Jawa Timur",SPPG Gresik Menganti Kepatihan,112.589942449512,-7.243269945033
JAWA TIMUR,PONOROGO,SUKOREJO,KARANGLO LOR,"Jl. Ponorogo Wonogiri Rt 02 Rw 01 Dusun Kulon, Karanglo Lor, Kec. Sukorejo, Kab. Ponorogo, Jawa Timur",SPPG Ponorogo Sukorejo Karanglo Lor,111.4304022938,-7.865819256461
JAWA TIMUR,TUBAN,PLUMPANG,KEDUNGROJO,"Desa Kedungrojo Rt 2 Rw 1 Kecamatan Plumpang, Kabupaten Tuban, Jawa Timur",SPPG Tuban Plumpang Kedungrojo,112.0883669,-7.0654467
JAWA TIMUR,MALANG,BULULAWANG,WANDANPURO,"Jl. Sidomulyo Iv Rt. 31 Rw. 09 Desa Wandanpuro, Wandanpuro, Bululawang, Kabupaten Malang, Jawa Timur",SPPG Malang Bululawang Wandanpuro,112.62611,-8.07306
JAWA TIMUR,PASURUAN,KRATON,PULOKERTO,"Jl. Raya Tambakrejo, Tambakrejo, Kecamatan Kraton, Kabupaten Pasuruan, Jawa Timur",SPPG Pasuruan Kraton Pulokerto,112.8658778,-7.6083641
JAWA TIMUR,BANGKALAN,SEPULU,LEMBUNG PASESER,"Desa Lembung Paseser, Kec. Sepulu, Kab. Bangkalan, Jawa Timur",SPPG Bangkalan Sepulu Lembung Paseser,113.0033814,-6.8901842
JAWA TIMUR,PASURUAN,SUKOREJO,GUNTING,"Dusun Genitri, Gunting, Kec. Sukorejo, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Sukorejo Gunting,112.698523,-7.71298
JAWA TIMUR,BOJONEGORO,BAURENO,SUMURAGUNG,"Desa Sumuragung, Kecamatan Baureno, Kabupaten Bojonegoro",SPPG Bojonegoro Baureno Sumuragung 2,112.1566,-7.1371
JAWA TIMUR,PASURUAN,GONDANGWETAN,GAYAM,"Jl. Gusdur, Gayam, Gondangwetan, Kabupaten Pasuruan, Jawa Timur",SPPG Pasuruan Gondangwetan Gayam 2,112.9104574,-7.7050871
JAWA TIMUR,NGANJUK,PACE,CERME,"Dusun Ngaglik, Cerme, Kecamatan Pace, Kabupaten Nganjuk, Jawa Timur",SPPG Nganjuk Pace Cerme,111.915971,-7.6789807
JAWA TIMUR,PROBOLINGGO,PAITON,BHINOR,"Jl. Raya Paiton Kecamatan Bunhor, Bhinor, Kec. Paiton, Kab. Probolinggo, Jawa Timur",SPPG Probolinggo Paiton Bhinor,113.519490921074,-7.716031970205
JAWA TIMUR,PASURUAN,KEJAYAN,PACAR KELING,"Desa Pacarkeling, Kecamatan Kejayan, Kabupaten Pasuruan, Jawa Timur",SPPG Pasuruan Kejayan Pacar Keling,112.8777431,-7.6996697
JAWA TIMUR,SIDOARJO,CANDI,BLIGO,"Perumahan Mutiara Regency No. A-01, Desa Bligo, Kecamatan Candi, Kabupaten Sidoarjo, Jawa Timur",SPPG Sidoarjo Candi Bligo,112.7222751,-7.4747354
JAWA TIMUR,KEDIRI,PURWOASRI,BELOR,"Belor, Kecamatan Purwoasri, Kabupaten Kediri, Jawa Timur",SPPG Kediri Purwoasri Belor,112.1374023,-7.6557949
JAWA TIMUR,PONOROGO,BUNGKAL,KUNTI,"Jl Raya Bancar-Bungkal RT02/RW01, Dukuh Tlogo, Desa Kunti, Kecamatan Bungkal, Kabupaten Ponorogo, Jawa Timur",SPPG Ponorogo Bungkal Kunti,111.4472903,-7.9905743
JAWA TIMUR,MAGETAN,MAGETAN,MAGETAN,Jl. Bromo Nomor 37,SPPG Magetan Magetan Magetan,111.332087697091,-7.658904592253
JAWA TIMUR,SAMPANG,OMBEN,GERSEMPAL,"Dusun Sarganding, Gersempal, Kec. Omben, Kab. Sampang, Jawa Timur",SPPG Sampang Omben Gersempal,113.3248296,-7.1413833
JAWA TIMUR,LUMAJANG,ROWOKANGKUNG,SIDOREJO,"Jl. Mayjen Soekertijo, Rt.11/Rw.06, Penggung Lor, Sidorejo, Kec. Rowokangkung, Kab. Lumajang, Jawa Timur",SPPG Lumajang Rowokangkung Sidorejo,113.329094,-8.2092771
JAWA TIMUR,NGANJUK,NGANJUK,GANUNG KIDUL,"Jl. Veteran No.10 , Desa Gunung Kidul, Kec. Nganjjuk, Kab. Nganjjuk, Provinsi Jawa Timur",SPPG Nganjuk Nganjuk Ganung Kidul 2,111.907342081846,-7.601750119404
JAWA TIMUR,SAMPANG,KETAPANG,BIRA BARAT,"Desa Bira Barat, Kecamatan Ketapang, Kabupaten Sampang, Jawa Timur",SPPG Sampang Ketapang Bira Barat 2,113.33947,-6.914235
JAWA TIMUR,MALANG,DAMPIT,DAMPIT,"Jl. Tunggorono No 17 Dampit Wetan, Dampit, Kec. Dampit, Kab. Malang Jawa Timur",SPPG Malang Dampit Dampit 3,112.762527555772,-8.216172181483
JAWA TIMUR,NGANJUK,BAGOR,GIRIREJO,"Desa Girirejo, Kecamatan Bagor, Kabupaten Nganjuk, Jawa Timur",SPPG Nganjuk Bagor Girirejo,111.8654218,-7.6102662
JAWA TIMUR,LAMONGAN,BABAT,KARANGKEMBANG,"Jalan Surya Kencana, Desa Karangkembang, Kecamatan Babat, Kabupaten Lamongan, Jawa Timur",SPPG Lamongan Babat Karangkembang,112.16327,-7.125326
JAWA TIMUR,TRENGGALEK,TUGU,TUMPUK,"Jalan Tumpuk-Pule RT 011
RW 004, Desa Tumpuk,
Kecamatan Tugu,
Kabupaten Trenggalek,
Provinsi Jawa Timur",SPPG Trenggalek Tugu Tumpuk,111.6457308,-8.0570919
